Cmmn_Nm,Cnctntd,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,ffd_r,resdept_r,drainagecl,drainagecl_Levels,soimoistdept_r,flodfreqcl,flodfreqcl_Levels,floddurcl,floddurcl_Levels,pondfreqcl,pondfreqcl_Levels,ponddurcl,ponddurcl_Levels,awc_r,aws.x,aws.y,dbthirdbar_r,dbovendry_r,om_r,claytotal_r,sandtotal_r,silttotal_r
Marbled Salamander,"Marbled Salamander, 30.007796, -83.013661",20.150000000000034,10.100000000000001,0.4139999866485596,548.1,32.05000000000001,7.650000000000034,24.400000000000002,26.650000000000034,16.950000000000045,26.650000000000034,12.750000000000057,1396.6000000000001,197.3,60.5,40.5,563.8000000000001,226.70000000000002,563.8000000000001,285.7,259,201,7,Very poorly drained,8,6,Frequent,4,Long (7 to 30 days),1,None,NA,NA,0.10320000171661377,22.711500350385904,22.711500350385904,1.4412000465393067,1.6115000000000002,0.89625,14.5325,74.8275,10.639999999999999
Marbled Salamander,"Marbled Salamander, 30.008271, -93.289722",20.250000000000057,7.300000000000001,0.3069999933242798,602.4,31.650000000000034,7.9500000000000455,23.700000000000003,27.650000000000034,16.650000000000034,27.650000000000034,12.150000000000034,1533,178.4,94.7,19.5,484.20000000000005,297.8,484.20000000000005,364.6,286,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marbled Salamander,"Marbled Salamander, 30.100624, -83.118367",19.950000000000045,10.3,0.41599998474121097,557.4,32.150000000000034,7.4500000000000455,24.700000000000003,26.650000000000034,16.750000000000057,26.650000000000034,12.450000000000045,1367.1000000000001,190.4,61.1,38.900000000000006,542,224.70000000000002,542,290.2,259,201,5,Somewhat poorly drained,59,4,Occasional,2,Very brief (4 to 48 hours),1,None,NA,NA,0.09699999772012234,17.42339963570237,17.42339963570237,1.5729999995231627,1.5456,0.4075,10.459999999999999,81.32,8.22
Marbled Salamander,"Marbled Salamander, 30.185778, -93.761727",19.950000000000045,8.4,0.33599998950958254,603.8000000000001,32.35000000000002,7.4500000000000455,24.900000000000002,26.150000000000034,16.350000000000023,27.350000000000023,11.850000000000023,1648.3000000000002,189.20000000000002,98,17.7,491,313.90000000000003,479.20000000000005,400.1,250,201,6,Poorly drained,25,1,None,NA,NA,1,None,NA,NA,0.17979999721050263,35.61263145584809,35.61263145584809,1.3629999965429307,1.7195,0.42580000169575216,31.360499610900877,12.207500309944153,56.43199817657471
Marbled Salamander,"Marbled Salamander, 30.188621, -93.246099",19.950000000000045,8.700000000000001,0.3460000038146973,606.2,32.25000000000006,7.250000000000057,25,27.350000000000023,16.350000000000023,27.350000000000023,11.750000000000057,1628.4,187.9,99.10000000000001,18.2,501,321.3,501,399.5,274,201,6,Poorly drained,31,3,Rare,NA,NA,1,None,NA,NA,0.19689999788999557,37.87999975681304,37.87999975681304,1.4400999653339386,1.6986,0.6475,34.08,9.775,56.145
Marbled Salamander,"Marbled Salamander, 30.240073, -84.743209",19.650000000000034,9.9,0.3990000009536743,572.4,31.950000000000045,7.050000000000011,24.900000000000002,26.450000000000045,16.150000000000034,26.450000000000045,11.950000000000045,1928.5,259.6,101.60000000000001,33.5,728.1,330.3,728.1,407.1,280,201,7,Very poorly drained,30,6,Frequent,4,Long (7 to 30 days),1,None,NA,NA,0.10000000149011612,23.207499783113597,23.207499783113597,1.5895000159740449,1.6095000000000002,1.6564999878406526,4.604999971389771,94.79500083923341,0.6000000238418579
Marbled Salamander,"Marbled Salamander, 30.359193, -84.677446",19.55000000000001,10,0.397000002861023,579.5,32.05000000000001,6.850000000000023,25.200000000000003,26.55000000000001,16.05000000000001,26.55000000000001,11.750000000000057,1572.4,202.5,87.10000000000001,31.1,578.2,273.2,578.2,338.8,238,201,6,Poorly drained,15,1,None,NA,NA,1,None,NA,NA,0.14819999776780607,28.41629966137931,28.41629966137931,1.5927499949932098,1.51655,0.6373999974876642,39.16099972724915,35.6474995136261,25.191500148773194
Marbled Salamander,"Marbled Salamander, 30.36595, -91.700799",19.750000000000057,9.4,0.36800000667572025,605.2,32.25000000000006,6.850000000000023,25.400000000000002,25.950000000000045,19.850000000000023,27.05000000000001,11.550000000000011,1568.9,172.10000000000002,107.4,14,454.70000000000005,348.40000000000003,451.3,414.5,278,201,5,Somewhat poorly drained,84,6,Frequent,4,Long (7 to 30 days),1,None,NA,NA,0.17100000157952308,34.222000340372325,34.222000340372325,1.396999979019165,1.4631,0.597000002861023,14.792999877929688,18.824999856948853,66.38200126647949
Marbled Salamander,"Marbled Salamander, 30.382035, -94.289335",19.850000000000023,9.600000000000001,0.3619999885559082,613.1,33.35000000000002,6.9500000000000455,26.400000000000002,15.950000000000045,16.150000000000034,27.350000000000023,11.650000000000034,1538.8000000000002,177.9,91.2,19,455.3,302.8,411.1,377.40000000000003,270,201,6,Poorly drained,157,6,Frequent,NA,NA,1,None,NA,NA,0.11600000038743019,28.24072189552268,28.24072189552268,1.350000023841858,1.41,0.325,11.390000190734863,57.2650015258789,31.34499923706055
Marbled Salamander,"Marbled Salamander, 30.3953, -89.696069",19.55000000000001,7.7,0.3190000057220459,601.1,31.250000000000057,7.250000000000057,24,26.950000000000045,20.350000000000023,26.950000000000045,11.550000000000011,1967.4,215.4,113.80000000000001,16.2,598.8000000000001,413.8,598.8000000000001,498.90000000000003,245,201,5,Somewhat poorly drained,38,1,None,NA,NA,1,None,NA,NA,0.2009090930223465,33.81666637957096,33.81666637957096,1.4954545497894287,1.5654545454545454,0.40909090909090906,26.363636363636363,7.727272640575062,65.90909229625355
Marbled Salamander,"Marbled Salamander, 30.4028509722, -83.9169859722",19.450000000000045,10.200000000000001,0.40399999618530275,574.5,31.950000000000045,6.750000000000057,25.200000000000003,26.350000000000023,15.950000000000045,26.350000000000023,11.750000000000057,1564,197,79.10000000000001,32.4,579,276.2,579,354.70000000000005,249,201,6,Poorly drained,15,1,None,NA,NA,1,None,NA,NA,0.12909999541938305,24.990999160707,24.990999160707,1.4044999825954436,1.5733000000000001,0.43669999748468397,35.684999790191654,59.00599983215332,5.30899997472763
Marbled Salamander,"Marbled Salamander, 30.425678, -91.027662",19.55000000000001,9.4,0.3710000038146973,601.6,32.05000000000001,6.650000000000034,25.400000000000002,26.850000000000023,20.150000000000034,26.850000000000023,11.450000000000045,1743.9,186.5,116.10000000000001,13.4,511.40000000000003,375.70000000000005,511.40000000000003,462.70000000000005,275,201,6,Poorly drained,31,1,None,NA,NA,1,None,NA,NA,0.18542553175320017,34.85999996960164,34.85999996960164,1.4343085415819858,1.640531914893617,0.5318085078863387,29.696808510638295,17.229255483505572,53.073936827639315
Marbled Salamander,"Marbled Salamander, 30.432519, -90.532585",19.55000000000001,8.8,0.35299999713897706,596.5,31.750000000000057,6.9500000000000455,24.8,26.850000000000023,20.250000000000057,26.850000000000023,11.550000000000011,1908,201.10000000000002,124.7,15.100000000000001,579.4,393.6,579.4,492.70000000000005,249,201,5,Somewhat poorly drained,69,1,None,NA,NA,1,None,NA,NA,0.18592592834690472,29.584200342297553,29.584200342297553,1.493333339691162,1.6544444444444444,0.6358024691358024,24.98148148148148,9.89074064772806,65.12777912469558
Marbled Salamander,"Marbled Salamander, 30.43639, -85.00046",19.450000000000045,9.9,0.3910000085830689,582.5,31.850000000000023,6.650000000000034,25.200000000000003,26.55000000000001,15.950000000000045,26.55000000000001,11.650000000000034,1559.9,204,83.60000000000001,29.400000000000002,557.7,272.3,557.7,348.20000000000005,280,201,5,Somewhat poorly drained,61,1,None,NA,NA,1,None,NA,NA,0.15459999620914458,29.640500076487662,29.640500076487662,1.4910000085830688,1.5626000000000002,0.4825,32.87400002002716,50.452500419616705,16.673499402999877
Marbled Salamander,"Marbled Salamander, 30.462571, -84.418596",19.55000000000001,9.9,0.3920000076293946,582.6,32.05000000000001,6.750000000000057,25.3,26.55000000000001,15.950000000000045,26.55000000000001,11.650000000000034,1501.9,184.10000000000002,79.2,30,542.7,268.8,542.7,336.6,238,201,6,Poorly drained,15,1,None,NA,NA,1,None,NA,NA,0.14819999776780607,28.41629966137931,28.41629966137931,1.5927499949932098,1.51655,0.6373999974876642,39.16099972724915,35.6474995136261,25.191500148773194
