a,b,alpha,gamma
10,11,1,1
10,12,1,1
11,12,1,1
10,13,1,1
11,13,1,1
12,13,1,1
10,14,1,1
11,14,1,1
12,14,1,1
13,14,1,1
10,15,1,1
11,15,1,1
12,15,1,1
13,15,1,1
14,15,1,1
10,16,1,1
11,16,1,1
12,16,1,1
13,16,1,1
14,16,1,1
15,16,1,1
10,17,1,1
11,17,1,1
12,17,1,1
13,17,1,1
14,17,1,1
15,17,1,1
16,17,1,1
10,18,1,1
11,18,1,1
12,18,1,1
13,18,1,1
14,18,1,1
15,18,1,1
16,18,1,1
17,18,1,1
10,19,1,1
11,19,1,1
12,19,1,1
13,19,1,1
14,19,1,1
15,19,1,1
16,19,1,1
17,19,1,1
18,19,1,1
10,20,1,1
11,20,1,1
12,20,1,1
13,20,1,1
14,20,1,1
15,20,1,1
16,20,1,1
17,20,1,1
18,20,1,1
19,20,1,1
10,21,1,1
11,21,1,1
12,21,1,1
13,21,1,1
14,21,1,1
15,21,1,1
16,21,1,1
17,21,1,1
18,21,1,1
19,21,1,1
20,21,1,1
10,22,1,1
11,22,1,1
12,22,1,1
13,22,1,1
14,22,1,1
15,22,1,1
16,22,1,1
17,22,1,1
18,22,1,1
19,22,1,1
20,22,1,1
21,22,1,1
10,23,1,1
11,23,1,1
12,23,1,1
13,23,1,1
14,23,1,1
15,23,1,1
16,23,1,1
17,23,1,1
18,23,1,1
19,23,1,1
20,23,1,1
21,23,1,1
22,23,1,1
10,24,1,1
11,24,1,1
12,24,1,1
13,24,1,1
14,24,1,1
15,24,1,1
16,24,1,1
17,24,1,1
18,24,1,1
19,24,1,1
20,24,1,1
21,24,1,1
22,24,1,1
23,24,1,1
10,25,1,1
11,25,1,1
12,25,1,1
13,25,1,1
14,25,1,1
15,25,1,1
16,25,1,1
17,25,1,1
18,25,1,1
19,25,1,1
20,25,1,1
21,25,1,1
22,25,1,1
23,25,1,1
24,25,1,1
10,26,1,1
11,26,1,1
12,26,1,1
13,26,1,1
14,26,1,1
15,26,1,1
16,26,1,1
17,26,1,1
18,26,1,1
19,26,1,1
20,26,1,1
21,26,1,1
22,26,1,1
23,26,1,1
24,26,1,1
25,26,1,1
10,27,1,1
11,27,1,1
12,27,1,1
13,27,1,1
14,27,1,1
15,27,1,1
16,27,1,1
17,27,1,1
18,27,1,1
19,27,1,1
20,27,1,1
21,27,1,1
22,27,1,1
23,27,1,1
24,27,1,1
25,27,1,1
26,27,1,1
10,28,1,1
11,28,1,1
12,28,1,1
13,28,1,1
14,28,1,1
15,28,1,1
16,28,1,1
17,28,1,1
18,28,1,1
19,28,1,1
20,28,1,1
21,28,1,1
22,28,1,1
23,28,1,1
24,28,1,1
25,28,1,1
26,28,1,1
27,28,1,1
10,29,1,1
11,29,1,1
12,29,1,1
13,29,1,1
14,29,1,1
15,29,1,1
16,29,1,1
17,29,1,1
18,29,1,1
19,29,1,1
20,29,1,1
21,29,1,1
22,29,1,1
23,29,1,1
24,29,1,1
25,29,1,1
26,29,1,1
27,29,1,1
28,29,1,1
10,30,1,1
11,30,1,1
12,30,1,1
13,30,1,1
14,30,1,1
15,30,1,1
16,30,1,1
17,30,1,1
18,30,1,1
19,30,1,1
20,30,1,1
21,30,1,1
22,30,1,1
23,30,1,1
24,30,1,1
25,30,1,1
26,30,1,1
27,30,1,1
28,30,1,1
29,30,1,1
10,31,1,1
11,31,1,1
12,31,1,1
13,31,1,1
14,31,1,1
15,31,1,1
16,31,1,1
17,31,1,1
18,31,1,1
19,31,1,1
20,31,1,1
21,31,1,1
22,31,1,1
23,31,1,1
24,31,1,1
25,31,1,1
26,31,1,1
27,31,1,1
28,31,1,1
29,31,1,1
30,31,1,1
10,32,1,1
11,32,1,1
12,32,1,1
13,32,1,1
14,32,1,1
15,32,1,1
16,32,1,1
17,32,1,1
18,32,1,1
19,32,1,1
20,32,1,1
21,32,1,1
22,32,1,1
23,32,1,1
24,32,1,1
25,32,1,1
26,32,1,1
27,32,1,1
28,32,1,1
29,32,1,1
30,32,1,1
31,32,1,1
10,33,1,1
11,33,1,1
12,33,1,1
13,33,1,1
14,33,1,1
15,33,1,1
16,33,1,1
17,33,1,1
18,33,1,1
19,33,1,1
20,33,1,1
21,33,1,1
22,33,1,1
23,33,1,1
24,33,1,1
25,33,1,1
26,33,1,1
27,33,1,1
28,33,1,1
29,33,1,1
30,33,1,1
31,33,1,1
32,33,1,1
10,34,1,1
11,34,1,1
12,34,1,1
13,34,1,1
14,34,1,1
15,34,1,1
16,34,1,1
17,34,1,1
18,34,1,1
19,34,1,1
20,34,1,1
21,34,1,1
22,34,1,1
23,34,1,1
24,34,1,1
25,34,1,1
26,34,1,1
27,34,1,1
28,34,1,1
29,34,1,1
30,34,1,1
31,34,1,1
32,34,1,1
33,34,1,1
10,35,1,1
11,35,1,1
12,35,1,1
13,35,1,1
14,35,1,1
15,35,1,1
16,35,1,1
17,35,1,1
18,35,1,1
19,35,1,1
20,35,1,1
21,35,1,1
22,35,1,1
23,35,1,1
24,35,1,1
25,35,1,1
26,35,1,1
27,35,1,1
28,35,1,1
29,35,1,1
30,35,1,1
31,35,1,1
32,35,1,1
33,35,1,1
34,35,1,1
10,11,4,1
10,12,4,1
11,12,4,1
10,13,4,1
11,13,4,1
12,13,4,1
10,14,4,1
11,14,4,1
12,14,4,1
13,14,4,1
10,15,4,1
11,15,4,1
12,15,4,1
13,15,4,1
14,15,4,1
10,16,4,1
11,16,4,1
12,16,4,1
13,16,4,1
14,16,4,1
15,16,4,1
10,17,4,1
11,17,4,1
12,17,4,1
13,17,4,1
14,17,4,1
15,17,4,1
16,17,4,1
10,18,4,1
