spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
900,900,0,0,1,1,28,32,7,1,28,32,7,1,0,0
900,901,0.162,0.25,0.8352208487613385,0.883851948467156,28,32,7,1,29,32,7,1,0.2978993118488191,57.05676253383263
900,902,0.34,0.5,0.6110623181603594,0.7316083614228237,28,32,7,1,30,32,7,1,0.604648658313239,55.7842978675626
900,903,0.553,0.75,0.30159182989257305,0.5321798891947109,28,32,7,1,31,32,7,1,0.9318309932600439,53.59741107780512
900,904,0.446,0.826,0.2939682515055757,0.5259792597116186,28,32,7,1,10,33,7,1,0.9387182750964209,61.63310194936273
900,905,0.437,0.818,0.31144494617180474,0.53610976547136,28,32,7,1,11,33,7,1,0.9274119904335937,61.88753758067776
900,906,0.428,0.81,0.32991377786512155,0.5467612977159231,28,32,7,1,12,33,7,1,0.9161244456950159,62.148248248613214
900,907,0.419,0.8,0.3493302595882506,0.5579085253632432,28,32,7,1,13,33,7,1,0.903084159976245,62.35670088360924
900,908,0.41,0.789,0.3696073544404571,0.569512697684202,28,32,7,1,14,33,7,1,0.8891687128998635,62.541575974846644
900,909,0.4,0.778,0.3906844163565598,0.5815211830684692,28,32,7,1,15,33,7,1,0.8748051211555634,62.79054493752324
900,910,0.39,0.765,0.4124721579254298,0.5938676996368675,28,32,7,1,16,33,7,1,0.8586763068817027,62.98733465206146
900,911,0.38,0.75,0.43488241306571984,0.6064720610195442,28,32,7,1,17,33,7,1,0.8407734534343957,63.13018691250094
900,912,0.369,0.734,0.45783788913076817,0.6192356038676718,28,32,7,1,18,33,7,1,0.8215333225134571,63.31018956552344
900,913,0.358,0.715,0.4812171147158454,0.6320236958543989,28,32,7,1,19,33,7,1,0.7996180338136453,63.4029042068487
900,914,0.346,0.692,0.5048470596024084,0.6446206544394559,28,32,7,1,20,33,7,1,0.7736795202149271,63.43494882292201
900,915,0.333,0.667,0.5283435043646574,0.65663862865069,28,32,7,1,21,33,7,1,0.745505197835669,63.46931941238833
900,916,0.318,0.636,0.5509368960414218,0.6673642534274533,28,32,7,1,22,33,7,1,0.7110696168449332,63.43494882292201
900,917,0.302,0.6,0.5710154498099724,0.6755393679468922,28,32,7,1,23,33,7,1,0.6717172023999385,63.282363885337766
900,918,0.288,0.556,0.5854729546368844,0.6790976946156683,28,32,7,1,24,33,7,1,0.6261629180971995,62.6164933612334
900,919,0.285,0.5,0.5884389278845555,0.6749263207125688,28,32,7,1,25,33,7,1,0.5755215026391282,60.31685982087671
900,920,0.312,0.429,0.5687888174132785,0.6588201416992312,28,32,7,1,26,33,7,1,0.5304573498406823,53.97262661489639
900,921,0.406,0.334,0.5085082312825058,0.6258971737922909,28,32,7,1,27,33,7,1,0.5257299687101735,39.44276779044918
900,922,0.57,0.2,0.40243365092876715,0.5716185968618974,28,32,7,1,28,33,7,1,0.6040695324215583,19.334808537826415
900,923,0.739,0.4,0.2687561541400023,0.4938103832029165,28,32,7,1,29,33,7,1,0.8403100618224204,28.425442120869327
900,924,0.889,0.6,0.12332708809599413,0.3983732109520469,28,32,7,1,30,33,7,1,1.0725301860553855,34.01602913707633
900,925,0.986,0.8,0.01671250190780804,0.31438986846214734,28,32,7,1,31,33,7,1,1.269722804394723,39.05445928855698
900,926,1,1,0,0.2928932188134524,28,32,7,1,32,33,7,1,1.4142135623730951,45
900,927,0.418,0.834,0.3051850678690723,0.5309760304294038,28,32,7,1,10,34,7,1,0.9328879889890318,63.380015206472535
900,928,0.414,0.826,0.31800280397703695,0.5380920468413646,28,32,7,1,11,34,7,1,0.9239437212298159,63.379483419615866
900,929,0.409,0.819,0.33087539496155094,0.5451736795807207,28,32,7,1,12,34,7,1,0.9154463392247522,63.46293894258746
900,930,0.405,0.81,0.34362768989008496,0.5521186063756051,28,32,7,1,13,34,7,1,0.905607530887415,63.43494882292201
900,931,0.4,0.8,0.3560767785565493,0.5588037883994581,28,32,7,1,14,34,7,1,0.894427190999916,63.43494882292201
900,932,0.395,0.79,0.36798862510592034,0.565083357067342,28,32,7,1,15,34,7,1,0.8832468511124171,63.43494882292201
900,933,0.389,0.778,0.3790985052839301,0.5707857020590588,28,32,7,1,16,34,7,1,0.8698304432474182,63.43494882292201
900,934,0.383,0.765,0.3890847031983965,0.5757083886350765,28,32,7,1,17,34,7,1,0.8555197250794396,63.40499807838763
900,935,0.378,0.75,0.3975427148365124,0.5796083523741358,28,32,7,1,18,34,7,1,0.839871418730272,63.25189583707854
900,936,0.374,0.733,0.40397140477672155,0.5821836334420707,28,32,7,1,19,34,7,1,0.8229003584881951,62.967874010607815
900,937,0.372,0.714,0.4076592807092517,0.5830430716392452,28,32,7,1,20,34,7,1,0.8050962675357525,62.48010756904983
900,938,0.373,0.692,0.4075718376892875,0.5816639580072149,28,32,7,1,21,34,7,1,0.7861253080775354,61.674562672880064
900,939,0.382,0.667,0.40218990855782555,0.5773447386354802,28,32,7,1,22,34,7,1,0.7686436105244094,60.199644349393616
900,940,0.402,0.637,0.3893218163572394,0.5691677809605098,28,32,7,1,23,34,7,1,0.7532416610889231,57.74466493470935
900,941,0.439,0.6,0.36601924585496914,0.5559907476917874,28,32,7,1,24,34,7,1,0.7434520831903022,53.80830965973845
900,942,0.502,0.556,0.32878287962144825,0.5364857213977188,28,32,7,1,25,34,7,1,0.749092784640194,47.921823850482774
900,943,0.597,0.5,0.27496384449890965,0.5092653111026133,28,32,7,1,26,34,7,1,0.7787226720726705,39.94687904197982
900,944,0.716,0.429,0.206337786263608,0.47320193716956205,28,32,7,1,27,34,7,1,0.8346837724551736,30.928439639373696
900,945,0.833,0.333,0.1324341184529665,0.4281862754252258,28,32,7,1,28,34,7,1,0.8970941979524781,21.789549461782418
900,946,0.925,0.5,0.0650810090794589,0.37685230977870643,28,32,7,1,29,34,7,1,1.0514870422406546,28.393019421382995
900,947,0.981,0.667,0.017975883348893107,0.3277802164198216,28,32,7,1,30,34,7,1,1.1862756846534452,34.212506962938534
900,948,0.999,0.834,8.915394872188731e-4,0.29746916837110837,28,32,7,1,31,34,7,1,1.3013673578202274,39.85630524032165
900,949,1,1,0,0.2928932188134524,28,32,7,1,32,34,7,1,1.4142135623730951,45
900,951,0.42,0.84,0.29036411465583956,0.5217707474251978,28,32,7,1,10,35,7,1,0.9391485505499116,63.43494882292201
900,952,0.418,0.834,0.29842603765922227,0.5261137656876919,28,32,7,1,11,35,7,1,0.9328879889890318,63.380015206472535
900,953,0.415,0.826,0.3059803938542791,0.5301212695438939,28,32,7,1,12,35,7,1,0.9243922327670219,63.324071787622316
900,954,0.413,0.819,0.3128305847784716,0.5336827903355013,28,32,7,1,13,35,7,1,0.9172404264967827,63.23940084665116
900,955,0.411,0.81,0.31875461877538447,0.5366728219676915,28,32,7,1,14,35,7,1,0.9083066662752179,63.09642526129
900,956,0.41,0.8,0.3235043001126937,0.5389495370783455,28,32,7,1,15,35,7,1,0.8989438247187641,62.86486037792313
900,957,0.411,0.79,0.3267788898734064,0.5403526173467685,28,32,7,1,16,35,7,1,0.8905172654137594,62.514151688042645
900,958,0.414,0.778,0.32823023135902674,0.5406993323091694,28,32,7,1,17,35,7,1,0.8812945024224309,61.98105335781313
900,959,0.42,0.765,0.3274389023566536,0.5397776290062692,28,32,7,1,18,35,7,1,0.8727112924673314,61.23235066115621
900,960,0.431,0.75,0.3238792126211675,0.5373349468663434,28,32,7,1,19,35,7,1,0.8650208089982575,60.11545332845237
900,961,0.447,0.733,0.3168782329754678,0.5330624560831412,28,32,7,1,20,35,7,1,0.8585441165135314,58.62421540032677
900,962,0.471,0.714,0.30557397375973816,0.526577105981552,28,32,7,1,21,35,7,1,0.8553578198625414,56.58860624692977
900,963,0.506,0.693,0.28888171870199897,0.5174075797857773,28,32,7,1,22,35,7,1,0.8580705099232813,53.86462338841079
900,964,0.553,0.667,0.26562514292050854,0.504993379806189,28,32,7,1,23,35,7,1,0.866428300553485,50.338366576223784
900,965,0.616,0.637,0.23464860259164977,0.48870787627183776,28,32,7,1,24,35,7,1,0.8861292230820514,45.960174566666346
900,966,0.694,0.6,0.19550873675942448,0.46792070773819916,28,32,7,1,25,35,7,1,0.917407216016966,40.84516265242373
900,967,0.781,0.556,0.14946185271858903,0.44213507657559903,28,32,7,1,26,35,7,1,0.9586954678102949,35.44736076557255
900,968,0.866,0.5,0.10088542658994348,0.4112814560361032,28,32,7,1,27,35,7,1,0.9999779997579946,30.000727780827372
900,969,0.933,0.429,0.05657708183667154,0.376323327805302,28,32,7,1,28,35,7,1,1.0269031113011586,24.69330621178924
900,970,0.976,0.572,0.022971134298706675,0.34038821364007965,28,32,7,1,29,35,7,1,1.1312647789089874,30.373099317426853
900,971,0.996,0.715,0.004719483614110231,0.3101849075090106,28,32,7,1,30,35,7,1,1.2260672901598835,35.67348814612146
900,972,1,0.858,1.4026140438549994e-4,0.29468780237807346,28,32,7,1,31,35,7,1,1.317635761506191,40.62959351305883
900,973,1,1,0,0.2928932188134524,28,32,7,1,32,35,7,1,1.4142135623730951,45
900,1129,1,1,0,0.2928932188134524,28,32,7,1,10,28,10,1,1.4142135623730951,45
900,1130,1,1,0,0.2928932188134524,28,32,7,1,11,28,10,1,1.4142135623730951,45
900,1131,1,1,0,0.2928932188134524,28,32,7,1,12,28,10,1,1.4142135623730951,45
900,1132,1,1,0,0.2928932188134524,28,32,7,1,13,28,10,1,1.4142135623730951,45
900,1133,1,1,0,0.2928932188134524,28,32,7,1,14,28,10,1,1.4142135623730951,45
900,1134,1,1,0,0.2928932188134524,28,32,7,1,15,28,10,1,1.4142135623730951,45
900,1135,1,1,0,0.2928932188134524,28,32,7,1,16,28,10,1,1.4142135623730951,45
900,1136,1,1,0,0.2928932188134524,28,32,7,1,17,28,10,1,1.4142135623730951,45
900,1137,1,1,0,0.2928932188134524,28,32,7,1,18,28,10,1,1.4142135623730951,45
900,1138,1,1,0,0.2928932188134524,28,32,7,1,19,28,10,1,1.4142135623730951,45
900,1139,1,1,0,0.2928932188134524,28,32,7,1,20,28,10,1,1.4142135623730951,45
900,1140,1,1,0,0.2928932188134524,28,32,7,1,21,28,10,1,1.4142135623730951,45
900,1141,1,1,0,0.2928932188134524,28,32,7,1,22,28,10,1,1.4142135623730951,45
900,1142,1,1,0,0.2928932188134524,28,32,7,1,23,28,10,1,1.4142135623730951,45
900,1143,1,1,0,0.2928932188134524,28,32,7,1,24,28,10,1,1.4142135623730951,45
