spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B,ND_magnitude,ND_angle
33,33,0,0,1,1,14,18,1,1,14,18,1,1,0,0
33,34,0.196,0.25,0.8327803231120421,0.8306232661503535,14,18,1,1,15,18,1,1,0.3176727876290319,51.90355391972503
33,35,0.417,0.5,0.6237700061693865,0.6946719805135508,14,18,1,1,16,18,1,1,0.6510675848174289,50.17189369571569
33,36,0.675,0.75,0.41325780810189294,0.5802722741867059,14,18,1,1,17,18,1,1,1.0090218035305283,48.01278750418334
33,37,0.319,0.556,0.6929380456165002,0.7350227893344408,14,18,1,1,10,19,1,1,0.6410124803777225,60.15533900214384
33,38,0.271,0.5,0.7311087127721179,0.7597987310063647,14,18,1,1,11,19,1,1,0.5687187354044176,61.542307276365904
33,39,0.219,0.429,0.77753237669058906,0.7923357426181764,14,18,1,1,12,19,1,1,0.48166585928421374,62.956165152626745
33,40,0.167,0.334,0.8232804281096452,0.8274849356799814,14,18,1,1,13,19,1,1,0.3734233522424649,63.43494882292201
33,41,0.156,0.2,0.8258047602413802,0.8351042044843684,14,18,1,1,14,19,1,1,0.25364542179980304,52.04576912486749
33,42,0.367,0.4,0.7222094641259598,0.7400217371162281,14,18,1,1,15,19,1,1,0.5428526503573506,47.46361843038432
33,43,0.595,0.6,0.5610622185487208,0.6232403588773117,14,18,1,1,16,19,1,1,0.845,45.23972989608085
33,44,0.833,0.8,0.3762450083760135,0.517861410727307,14,18,1,1,17,19,1,1,1.1549411240405287,43.842312670343695
33,45,1,1,0.3004059448054839,0.4757920490853844,14,18,1,1,18,19,1,1,1.4142135623730951,45
33,46,0.308,0.6,0.6594940751285531,0.7181337913052636,14,18,1,1,10,20,1,1,0.6744360607203621,62.82705885308328
33,47,0.279,0.556,0.6837851380796982,0.733589961298451,14,18,1,1,11,20,1,1,0.6220747543503112,63.352568175861755
33,48,0.25,0.5,0.7095223136972224,0.7509000183250382,14,18,1,1,12,20,1,1,0.5590169943749475,63.43494882292201
33,49,0.219,0.429,0.725941800883899,0.7631933227829709,14,18,1,1,13,20,1,1,0.48166585928421374,62.956165152626745
33,50,0.267,0.333,0.6996391717588802,0.7506917420642274,14,18,1,1,14,20,1,1,0.42682314838818197,51.27729848959756
33,51,0.475,0.5,0.6060638641470886,0.6715908210261623,14,18,1,1,15,20,1,1,0.689655711206686,46.46880071438583
33,52,0.688,0.667,0.48335662060178974,0.5725631060836965,14,18,1,1,16,20,1,1,0.9582447495290543,44.11209221445276
33,53,0.887,0.834,0.3461901175655322,0.4837723593249391,14,18,1,1,17,20,1,1,1.2175077001809886,43.23607387047727
33,54,1,1,0.27840890592694345,0.4489802265773528,14,18,1,1,18,20,1,1,1.4142135623730951,45
33,56,0.319,0.637,0.6127860992340621,0.6928054297557041,14,18,1,1,10,21,1,1,0.7124113979997794,63.39898160886866
33,57,0.3,0.6,0.6264979059920246,0.701379006339567,14,18,1,1,11,21,1,1,0.6708203932499369,63.43494882292201
33,58,0.279,0.556,0.6380673819138962,0.709143845228828,14,18,1,1,12,21,1,1,0.6220747543503112,63.352568175861755
33,59,0.271,0.5,0.6373199193744501,0.7102422266709965,14,18,1,1,13,21,1,1,0.5687187354044176,61.542307276365904
33,60,0.351,0.429,0.5994565751086411,0.6906931022097362,14,18,1,1,14,21,1,1,0.5542941457385239,50.71059313749964
33,61,0.55,0.572,0.5132053445370011,0.6213148343342498,14,18,1,1,15,21,1,1,0.7935263070623431,46.12330271407542
33,62,0.744,0.715,0.40623151947958136,0.5355917713613543,14,18,1,1,16,21,1,1,1.0318725696518924,43.86130305767169
33,63,0.914,0.858,0.3027002182933187,0.4598543663806105,14,18,1,1,17,21,1,1,1.253618761825141,43.18990060488225
33,64,1,1,0.25841513362696666,0.4296634703952229,14,18,1,1,18,21,1,1,1.4142135623730951,45
33,67,0.333,0.667,0.5629678932285992,0.6663939919433257,14,18,1,1,10,22,1,1,0.745505197835669,63.46931941238833
33,68,0.319,0.637,0.5687840425903213,0.6702521883786297,14,18,1,1,11,22,1,1,0.7124113979997794,63.39898160886866
33,69,0.308,0.6,0.5705525595337009,0.6721205444525704,14,18,1,1,12,22,1,1,0.6744360607203621,62.82705885308328
33,70,0.319,0.556,0.5594068799802581,0.6672013127027023,14,18,1,1,13,22,1,1,0.6410124803777225,60.15533900214384
33,71,0.417,0.5,0.5168162743176417,0.6448412517833586,14,18,1,1,14,22,1,1,0.6510675848174289,50.17189369571569
33,72,0.606,0.625,0.4376924546668579,0.582869304011562,14,18,1,1,15,22,1,1,0.8705521236548677,45.884267568537325
33,73,0.783,0.75,0.3440943557773277,0.507760155163361,14,18,1,1,16,22,1,1,1.0842458208358472,43.76681751208307
33,74,0.931,0.875,0.255080771134339,0.4425102289950378,14,18,1,1,17,22,1,1,1.2776486214918403,43.223955746641266
33,75,1,1,0.22482426986304527,0.41631987533314785,14,18,1,1,18,22,1,1,1.4142135623730951,45
