spA_par,spB_par,Dissimilarity,Exclusivity,D,I,a_A,b_A,alpha_A,gamma_A,a_B,b_B,alpha_B,gamma_B
3345,3345,0,0,1,1,13,24,7,7,13,24,7,7
3345,3346,0.147,0.091,0.8739396126639942,0.9106706213254636,13,24,7,7,14,24,7,7
3345,3347,0.3,0.182,0.7367979576241077,0.815261629325374,13,24,7,7,15,24,7,7
3345,3348,0.455,0.273,0.5998607252722129,0.720802283003858,13,24,7,7,16,24,7,7
3345,3349,0.605,0.364,0.4787946394468411,0.6360477651130876,13,24,7,7,17,24,7,7
3345,3350,0.741,0.455,0.3802644263215609,0.5671010192438867,13,24,7,7,18,24,7,7
3345,3351,0.854,0.546,0.3055738149162949,0.5126186219768849,13,24,7,7,19,24,7,7
3345,3352,0.935,0.637,0.2585610591890347,0.47409531573747443,13,24,7,7,20,24,7,7
3345,3353,0.98,0.728,0.24344098813824655,0.45763252497501394,13,24,7,7,21,24,7,7
3345,3354,0.997,0.819,0.24856014656154057,0.4655091518934589,13,24,7,7,22,24,7,7
3345,3355,1,0.91,0.2635221144040585,0.49106184947850706,13,24,7,7,23,24,7,7
3345,3356,0.225,0.267,0.797644847090252,0.8487492663446337,13,24,7,7,10,25,7,7
3345,3357,0.134,0.214,0.8738708333235852,0.9020580546139908,13,24,7,7,11,25,7,7
3345,3358,0.077,0.153,0.9274287112909007,0.9430336649913684,13,24,7,7,12,25,7,7
3345,3359,0.134,0.083,0.8725082568228565,0.9109535128114933,13,24,7,7,13,25,7,7
3345,3360,0.28,0.167,0.7594852781807583,0.8336972108032714,13,24,7,7,14,25,7,7
3345,3361,0.427,0.25,0.6367793921943361,0.746734832327435,13,24,7,7,15,25,7,7
3345,3362,0.569,0.333,0.5178321369610361,0.6620206093907014,13,24,7,7,16,25,7,7
3345,3363,0.701,0.417,0.41556994224819976,0.587938803577861,13,24,7,7,17,25,7,7
3345,3364,0.814,0.5,0.3341115357991091,0.5285979980106095,13,24,7,7,18,25,7,7
3345,3365,0.902,0.584,0.2736804946439424,0.48354724085012946,13,24,7,7,19,25,7,7
3345,3366,0.96,0.667,0.24140949002258727,0.45520298601670306,13,24,7,7,20,25,7,7
3345,3367,0.989,0.75,0.23489028930764133,0.4469453160524455,13,24,7,7,21,25,7,7
3345,3368,0.999,0.834,0.24277848035927863,0.45754764612340404,13,24,7,7,22,25,7,7
3345,3369,1,0.917,0.25700749377401966,0.48025721085343875,13,24,7,7,23,25,7,7
3345,3370,1,1,0.27106639791481857,0.5056490252500374,13,24,7,7,24,25,7,7
3345,3371,0.166,0.312,0.8357884290921679,0.8729302310059783,13,24,7,7,10,26,7,7
3345,3372,0.133,0.266,0.8667079813696449,0.897284392729697,13,24,7,7,11,26,7,7
3345,3373,0.134,0.214,0.8450666822076768,0.8845413009229699,13,24,7,7,12,26,7,7
3345,3374,0.252,0.154,0.7565553686459051,0.8331344257677373,13,24,7,7,13,26,7,7
3345,3375,0.393,0.231,0.6507460778546597,0.76217543574567,13,24,7,7,14,26,7,7
3345,3376,0.53,0.308,0.5445230661073863,0.6852346881251707,13,24,7,7,15,26,7,7
3345,3377,0.658,0.385,0.4479967882814365,0.6119520928170967,13,24,7,7,16,26,7,7
3345,3378,0.771,0.462,0.36518010041864024,0.5492736241795457,13,24,7,7,17,26,7,7
3345,3379,0.864,0.539,0.2986512326472711,0.5001797875571428,13,24,7,7,18,26,7,7
3345,3380,0.932,0.616,0.25201619303196576,0.4648762840574784,13,24,7,7,19,26,7,7
3345,3381,0.974,0.692,0.2314940020446823,0.44558051084378847,13,24,7,7,20,26,7,7
3345,3382,0.994,0.769,0.23137148845018474,0.4438709864439614,13,24,7,7,21,26,7,7
3345,3383,0.999,0.847,0.24156642305522746,0.4568878935976144,13,24,7,7,22,26,7,7
3345,3384,1,0.924,0.2542275993517691,0.47631034578643183,13,24,7,7,23,26,7,7
3345,3385,1,1,0.2637384761807108,0.49216349109922464,13,24,7,7,24,26,7,7
3345,3387,0.176,0.353,0.8161764815384914,0.8608023764732922,13,24,7,7,10,27,7,7
3345,3388,0.166,0.312,0.8053939731409993,0.8548829502955431,13,24,7,7,11,27,7,7
3345,3389,0.225,0.267,0.7474453400781556,0.822038915864652,13,24,7,7,12,27,7,7
3345,3390,0.355,0.214,0.657202255232369,0.7685336043981724,13,24,7,7,13,27,7,7
3345,3391,0.488,0.286,0.5612399850946921,0.7037543482977984,13,24,7,7,14,27,7,7
