"spA_par","spB_par","Dissimilarity","Exclusivity","D","I","a_A","b_A","alpha_A","gamma_A","a_B","b_B","alpha_B","gamma_B","ND_magnitude","ND_angle"
1,1,0,0,1,1,10,11,1,1,10,11,1,1,0,0
1,2,0.417,0.501,0.809588587402946,0.787650098121164,10,11,1,1,10,12,1,1,0.651835868911799,50.2281918852723
1,3,1,1,0.799994437426536,0.717439662418244,10,11,1,1,11,12,1,1,1.4142135623731,45
1,4,0.583,0.667,0.636813816550157,0.687771196547948,10,11,1,1,10,13,1,1,0.885876966626856,48.8444962923603
1,5,1,1,0.624950848654387,0.644376271148815,10,11,1,1,11,13,1,1,1.4142135623731,45
1,7,0.675,0.75,0.513372475060166,0.62767843366934,10,11,1,1,10,14,1,1,1.00902180353053,48.0127875041833
1,8,1,1,0.505078414651344,0.59731578145655,10,11,1,1,11,14,1,1,1.4142135623731,45
1,11,0.733,0.8,0.423122348914829,0.585361542192767,10,11,1,1,10,15,1,1,1.08502949268672,47.5025282440925
1,12,1,1,0.416588872691988,0.561876115417734,10,11,1,1,11,15,1,1,1.4142135623731,45
1,16,0.774,0.834,0.352058924073781,0.55196001368683,10,11,1,1,10,16,1,1,1.13781896626836,47.1369108537573
1,17,1,1,0.345731169501339,0.532708199068663,10,11,1,1,11,16,1,1,1.4142135623731,45
1,22,0.804,0.857,0.301965275816502,0.527651047852256,10,11,1,1,10,17,1,1,1.17510212322164,46.8276016522023
1,23,1,1,0.296772954356388,0.511655338125157,10,11,1,1,11,17,1,1,1.4142135623731,45
1,29,0.826,0.876,0.271264656583623,0.512094844565919,10,11,1,1,10,18,1,1,1.2040149500733,46.6827058041531
1,30,1,1,0.267621553552706,0.498786537218439,10,11,1,1,11,18,1,1,1.4142135623731,45
1,37,0.844,0.889,0.252750640428773,0.502200151565119,10,11,1,1,10,19,1,1,1.22582910717604,46.4874384465958
1,38,1,1,0.25004475113096,0.49094904609386,10,11,1,1,11,19,1,1,1.4142135623731,45
1,46,0.859,0.901,0.239537682768647,0.494684779433202,10,11,1,1,10,20,1,1,1.24486224137452,46.3670261919667
1,47,1,1,0.237562954404475,0.484935733427157,10,11,1,1,11,20,1,1,1.4142135623731,45
1,56,0.871,0.91,0.229032681164087,0.487995419193865,10,11,1,1,10,21,1,1,1.25965908086275,46.2544516226815
1,57,1,1,0.227544708045286,0.479339365164417,10,11,1,1,11,21,1,1,1.4142135623731,45
1,67,0.881,0.917,0.221354240399581,0.48241664269092,10,11,1,1,10,22,1,1,1.2716328086362,46.1470369837787
1,68,1,1,0.220289758229257,0.474608395544175,10,11,1,1,11,22,1,1,1.4142135623731,45
1,79,0.89,0.924,0.216172576576742,0.477921681490737,10,11,1,1,10,23,1,1,1.28291698874089,46.0737753205133
1,80,1,1,0.215433984970344,0.470791493085674,10,11,1,1,11,23,1,1,1.4142135623731,45
1,92,0.898,0.929,0.216039433702068,0.476019277948709,10,11,1,1,10,24,1,1,1.29207004454093,45.9720846959461
1,93,1,1,0.215760334967744,0.469524890013906,10,11,1,1,11,24,1,1,1.4142135623731,45
1,106,0.904,0.934,0.217654315412951,0.4756611309577,10,11,1,1,10,25,1,1,1.29983537419167,45.9351037909461
1,107,1,1,0.217689531274142,0.469722076960515,10,11,1,1,11,25,1,1,1.4142135623731,45
1,121,0.91,0.938,0.220276545043262,0.476064290034551,10,11,1,1,10,26,1,1,1.30688331537288,45.8680514497455
1,122,1,1,0.220665232308562,0.470600046398832,10,11,1,1,11,26,1,1,1.4142135623731,45
1,137,0.915,0.942,0.224087165683572,0.477271936921211,10,11,1,1,10,27,1,1,1.31323607930943,45.8329978729374
1,138,1,1,0.224840220650979,0.472229470474567,10,11,1,1,11,27,1,1,1.4142135623731,45
1,154,0.92,0.945,0.228207701169312,0.478604885829384,10,11,1,1,10,28,1,1,1.3188726246306,45.7679939419461
1,155,1,1,0.229292798305248,0.473916710403498,10,11,1,1,11,28,1,1,1.4142135623731,45
1,172,0.924,0.948,0.232876729360813,0.48030712076127,10,11,1,1,10,29,1,1,1.32381267557007,45.7345210342548
1,173,1,1,0.234235404026804,0.475933329979684,10,11,1,1,11,29,1,1,1.4142135623731,45
1,191,0.927,0.951,0.237474358653704,0.482163720406193,10,11,1,1,10,30,1,1,1.32805496874188,45.7321745775638
1,192,1,1,0.239087351698428,0.478065157975171,10,11,1,1,11,30,1,1,1.4142135623731,45
1,211,0.931,0.953,0.24230004464881,0.484139557064423,10,11,1,1,10,31,1,1,1.33228000060047,45.6690285882035
1,212,1,1,0.244176086644814,0.480284319510639,10,11,1,1,11,31,1,1,1.4142135623731,45
1,232,0.934,0.955,0.247725362507223,0.486683482280653,10,11,1,1,10,32,1,1,1.33580724657415,45.6369305485127
1,233,1,1,0.24989735827855,0.483066306054131,10,11,1,1,11,32,1,1,1.4142135623731,45
1,254,0.937,0.957,0.254865984937947,0.490523925059466,10,11,1,1,10,33,1,1,1.33933490957266,45.6050015843608
1,255,1,1,0.257419184683108,0.487172509417434,10,11,1,1,11,33,1,1,1.4142135623731,45
1,277,0.939,0.959,0.264000804971634,0.496048705110475,10,11,1,1,10,34,1,1,1.34216317934892,45.6037266491525
1,278,1,1,0.267028406853449,0.493002146907625,10,11,1,1,11,34,1,1,1.4142135623731,45
1,301,0.942,0.961,0.272495840615845,0.500826170721311,10,11,1,1,10,35,1,1,1.34569127217204,45.5720355438285
1,302,1,1,0.275897078274614,0.498004470698514,10,11,1,1,11,35,1,1,1.4142135623731,45
